,Emotion,URLs,color
1661,isolated,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRyR3tlxaTgzZ1xIjKPqCf8IvnrhHJLQRxUJxJCVhJb8nEaqKecmrH-LXqYuQ&s,"(190, 184, 177)"
1662,isolated,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcReTYHleh9PuHmAdXmLp0HtaOzQzbqbmbGbkEOGXDPst_ViBe39fbbag_X5cVg&s,"(84, 82, 69)"
1663,isolated,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRql0W5oIwX8m3FE-lobAZLNXRrcJXCwoudiCc1-_h3OBkG0VSYVgII72So1A&s,"(44, 41, 33)"
1664,isolated,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSi47WSKfUkO5h584t0N_4vvVXeFXTyuQ6dCFyysm5UFes3KlYLm_wBCvkb_ak&s,"(38, 38, 38)"
1665,isolated,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBzRjt0SH3szl2t1DwzURHTboIsCf0lNOjP8qoubtqTnFkW_tBOmTnkiWJ9g&s,"(188, 192, 190)"
1666,isolated,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRprMSM5yhyA1skYBd8QuyJ2_gIiI9tJYJnqusE1WfhQCHry-llJCIbWE42wA&s,"(142, 152, 148)"
1667,isolated,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRj-_45kIU5HeSheAHJNmeWeyngQjLfkE9w3nN4wS-oX7T6gfN2BYe1n3k3Wi4&s,"(84, 79, 80)"
1668,isolated,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSzLZGCzbnUDnE-qXLnp6eKkATWAE68zDaNyWJny4m6XxC4t0IyUDppqIvYuKY&s,"(100, 90, 84)"
1669,isolated,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSEBJyKqAHH0sP6S0SthuahcTr5Hs8_gcarvWKphpeVdk4bwnQRmttqGYhdPio&s,"(50, 55, 70)"
1670,isolated,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRTo8ADS8s5O_2dimo_mDBTqGqdNJ7NyOiFmDQCxMF2Z9MB68qLwzXdTykizQ&s,"(197, 197, 197)"
1671,isolated,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRMMFSVFXpEXoqhznLjpYIDAmhxt1ZU26eGSoHetm_SotV2aJykDAN1cFqw9x4&s,"(46, 46, 46)"
1672,isolated,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-K-0xIymoLNxdtteRWvvmwPI6hX-ZaL-Kgg0tZO9jqu6UAFeJ-pSCJS_seg&s,"(49, 51, 107)"
1673,isolated,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmsdGkWKRRRMMukxE3OBKczKTId8CObALAFu8oLUsmfempljXAZYSgHxrgcsc&s,"(224, 229, 244)"
1674,isolated,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRuzmBt0_5gS8b-Fg69vT3U5A7I3StVUkk3mhg_YE5SDRxD2HlKSfk6je4y5Q&s,"(39, 40, 48)"
1675,isolated,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR-m8clg4Dkk4giNJT9NCivhsQnm53E4GLQ_osJoOnr3lhbWNF4Y5Y3uKV7xg&s,"(47, 23, 6)"
1676,isolated,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSfQBc9lUx9o0hvi7UQ0-F6ROBna-TlKLNuUSn6I47KCypyTCI5ZxSpLIipzg&s,"(160, 179, 174)"
1677,isolated,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTaCIr8K9nHyuU-F8S2z_02b5HMMZKWm2jfPP03OFGamiIPfbsq8svkBlpqn5Q&s,"(215, 226, 220)"
1678,isolated,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSXaqKUxgUf4R3DzzySNKtKqirpjNogsVXtiv0i8roMMwRz4ziV-Vw4tDulxw&s,"(57, 58, 52)"
1679,isolated,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRDKA5KBdIaOKJBM0xZ8R9O2W3r0QwPs3_apKfZB4Ez4py8sSVbl-H5dWESnA&s,"(58, 56, 64)"
1680,disbelief,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSnIkxbtra-Oeejtblpy1nNkUUUTIGi4A_xJSnVQIEv5auvifxKJuTo59hpVA&s,"(191, 130, 102)"
1681,disbelief,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRFA9bwOIR7dtNcz7NDOgS6zTXY23gIVaYQJhkBawUp1J5EfgqreW6oeqlTpLs&s,"(4, 4, 4)"
1682,disbelief,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1GGT0FxQTJnBaNEC-ZJ2RKHDAazUCMKUzVOdU1rRHn1Czv7V7XKolSycaiUY&s,"(238, 231, 222)"
1683,disbelief,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRlXbacoT_hc5pgnqLBcGBkz0sMUXly3f2zvEdt5WGZTWAq-C4Oz9VmX_8r-xA&s,"(198, 198, 198)"
1684,disbelief,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmMwmbevQgCdDBwfnXdtYZgKRKWgmMjey3RXyNLjPnkaOrDTvYsWANm3H0JZ8&s,"(62, 73, 90)"
1685,disbelief,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbRvNDA7PNWU5-JKNBrwdY162faRqY3rf97hfLaMz144zRs_ctrgvpksrj4Hk&s,"(207, 168, 137)"
1686,disbelief,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT2H0tVjZDnh4EP3FXM1usInzKdO4XYRQ53Qk4Ft2JM13z_z58MDyx1TTZjwwY&s,"(9, 7, 7)"
1687,disbelief,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLDOsEXw10Ae63xApGfv_FaH8LkCx4_sL9m1bI5_tPW4pnrh0hCA2YFNe1sY4&s,"(248, 196, 62)"
1688,disbelief,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTGjCgWNugKhR84fSVhGBP_1O4JnI8xCVrQ6sUx193uTgGA-YcOb0rpoMRYbw&s,"(179, 163, 159)"
1689,disbelief,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRdDRZUAoFQsWSAxtpkhTYCde0YFzyT5rGQu3TuBNpskDDkFveDyYNaV400RxA&s,"(199, 202, 204)"
1690,disbelief,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRRHwLx4-6GuNC6NE-REOwkGMmdLsTteHurXDn6xXJowsmw8vB24yXHeoh0MI8&s,"(34, 30, 34)"
1691,disbelief,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQr4AVDgeLxPsLR7vsphUd15bcNemMehCpxaCOF4idGsOuLwj2A6ccVbNcXkg&s,"(237, 228, 219)"
1692,disbelief,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW5BBbxUeZp34kNsoeaIhO5aNwAt_j4DEHIaddGbOYRK-TnnOEsemzu1PsdPk&s,"(206, 200, 86)"
1693,disbelief,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTYcpdN1xYBi_g9JNWF3cCT8PAr3HyaYLi8OQTjjBlC0B5VqVHgcmfVCHRj_tI&s,"(208, 149, 148)"
1694,disbelief,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRke9gn0I-Dhu0FLpFk3dVHjp3SJJrFu40zf0wGQEQnQ1nNkDGV7wq-ou6HZg&s,"(230, 217, 208)"
1695,disbelief,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS8oW8rOe4_RDZgbzRhAhYbGuLs-ZmBd0JxLMfRSUDFVPVwWiRjehchg1lvzqQ&s,"(229, 228, 227)"
1696,disbelief,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT4p1TzfcrWRLmiLamVCLrRKApuKGZuKXwsWEU7-fU3ByMR8_Ijh93Mg1AS0VQ&s,"(216, 210, 218)"
1697,disbelief,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDNmcw5S_DanVDloBQYbFs1mxC4vnewSd_jEqgkIOKtMCJuKD4r37SgReyQm8&s,"(186, 179, 178)"
1698,disbelief,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQKAvlZhwOWPtodTyqPy2kZDH-4FZrrynDDZ4PS9mlDO_NLoIME9sBnCRrqxW8&s,"(223, 197, 196)"
1699,modesty,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRlBa5laDbOdE0SoqAT5VvboZwbGv7OClCvf0COFXIeWiP_wppxe2210yS_7A&s,"(233, 220, 214)"
1700,modesty,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTXitPrmk28lW3AmI621NADgl6u0uElZrZpL03qL22M2lo1bQcB5lhe9Y1pfKc&s,"(239, 237, 218)"
1701,modesty,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTAJKXQoSLwghYxvh0Izr1LreeDVAjrv6m3jOupySGveUt_-DrTGIEOQixpBA&s,"(45, 59, 60)"
1702,modesty,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT3gCwLsdrWU0raHj_3fls5nMK2KBB2vctWQSB86BOZYQIfhfJs_Z3fpFBPaw&s,"(207, 204, 200)"
1703,modesty,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRXKWjlZoDyQFuBrhabj_4x3FVw0E4J5gTZKAY3q1KTGdW6oK50w-R9hahatA&s,"(130, 134, 138)"
1704,modesty,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTgsNftPObB6AmFCyB71_9IRqHAbbfhIUoKDDWRdfhaoJQ2iN-VxuJoUBmR-8Y&s,"(102, 116, 128)"
1705,modesty,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRrXwyCJVHZRZhrBZbgU4GvnZIygl0_PJ8tEvsGJggkt073W9tYZs6zxTXZSg&s,"(220, 202, 167)"
1706,modesty,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSkGR96XuLFR62UunovCkFSUmA8Pi-OX899LXqz2f1q3EpUkdqR4054sDF2QiA&s,"(232, 229, 224)"
1707,modesty,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTvXuzHVXTXtCeaAmMJc6oKbO2RQ7d5TLfijqrpRsDBk-mRDNhgI0y7H2m1wR4&s,"(207, 197, 191)"
1708,modesty,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT0ryoDVlkqyXsCK0iXvsYxZNHV_J0wKLfYf_rGZj7zdTiFRH-2D5n1lISsBvA&s,"(220, 217, 214)"
1709,modesty,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTuHgCfMBFx71odnoFAcGFrLdde8grcsxma5neG8X5AXy3RCvc2-huywpndeg&s,"(183, 165, 137)"
1710,modesty,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS5QLzf9_dt202dZgXe6g3k-zSDQjUH3eq0Tqc1s27vg042rkBHXUCuFkD-lw&s,"(8, 8, 8)"
1711,modesty,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRATnN0ii5N7iMOyF3t-hD_7xh2_7QJqC3BplS8000crnYzNZN5vLUFeiELBg&s,"(201, 187, 170)"
1712,modesty,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTprZvntxK3dwSOMT8ALZzRQU67yzaK6fw8bzBTyltvN2uhXP_NCoAWOuPk6uw&s,"(221, 205, 172)"
1713,modesty,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTaGsvuQPQVMpLLwJv22YxU1HsxNQkTG9SvoNa3zzlY0Vcp-XhJ1nISnYfxoFs&s,"(24, 60, 67)"
1714,modesty,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcScrzOU-IkysVbX3_oK-NJWASxpMxifNkdxRNgghX68iJlt9K2OZS9-_N0R7Q&s,"(197, 179, 167)"
1715,modesty,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQRTFVJ4yQTdjOg-3T2gGLUG7OMNB-WjhAp0GlONcGUwhMsyv4lf84ZfuMVvNc&s,"(202, 169, 168)"
1716,modesty,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ3LM1_6Nek0uQKibtAPNJCLk8Wk4YB_4p-YYB0Fi8uCYEr8bR531Q4r7ooQQ&s,"(176, 171, 167)"
1717,modesty,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQTjn2KTaBKfys2uZGRx4ahRacEmlo4NvkW-kclGN5euFsaCc1aY143NauLJOI&s,"(247, 201, 97)"
1718,modesty,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcScaLuJyVByevGbXii2gekKvsDfBktuaNksaQIEEkT_UwrL_f8N5eO0G8Olcw&s,"(213, 210, 206)"
1719,unhappy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTM9KcSBGOBdzd6Les8sdZkQuKXGLQN_HblG157iV1GJA28QbeLLgn2pc3U6Q&s,"(109, 74, 59)"
1720,unhappy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTTbjNu8lSgvqH3YzPeqJMFD31RzyimMYUhBZ8WfGsNJUBbF0jkzA_8pWNZM4Y&s,"(245, 188, 41)"
1721,unhappy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTbDPxkvL3cFgMV2TU5CqAcVFl1uwD_wEcoMDgUtBFEBbwXo7fn7bcKot6VpA&s,"(206, 206, 207)"
1722,unhappy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTWssOrvi-5JUH7VdTpUzBAf5KgZWw0a-OQDEhauTXb-1d8ZABw7xDRRAVJcw&s,"(194, 188, 181)"
1723,unhappy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQTLsZeihOMEE4dKiVARqPYb9DLaQFE4fTXUN-zoV3DFxjfWzFBFbV2fArduQ&s,"(111, 113, 118)"
1724,unhappy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTxurB90qr5Yo7BPZfOSzBuR8sMy30Vy-in4CdJcHUBBtbkH2LHaoMXjZOKm4Y&s,"(63, 60, 54)"
1725,unhappy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBIcMjuMkGLN0UupG0EghFkH2qfR7nsquw7SW59-too8Pjx9O8ddl3GUBKmw&s,"(181, 184, 185)"
1726,unhappy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRuVjs7R-aTlrbGt6WJSyH-hto9Z-Io2PoZI8SkcZ7Mwj1ODKgZP9wYOxzSrg&s,"(219, 217, 218)"
1727,unhappy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQH9wK8EvjOU-vzV9A6-j8RAfCptd9WGxHKs4O7jEgJTTuc2A_Gu-vQorOBi20&s,"(9, 9, 9)"
1728,unhappy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR3AidvsZxLnsJh1MbtnHXfDzP9a7oX6By780_HxHOYexGRbGyHQJ8nJBTYMw&s,"(187, 177, 172)"
1729,unhappy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQT5FlXTzokbwFFDg93HZknkG02DYUgEgh26ieGFXhLFtU9AwSWz7HcUeinO3M&s,"(244, 198, 16)"
1730,unhappy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ7oOn20UQJLxCRDBCXRtbrzUBrOdmN6A8hLrRjo93cUq83viC34IwqQW43GS0&s,"(193, 193, 193)"
1731,unhappy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTkmpMZYNskjCKqEukbAEs--IbJ_3hIE7TC6Jh2PY0AFBmlxYxPXJA_aEa53kg&s,"(174, 157, 143)"
1732,unhappy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT38BuPm4j2eF1raDJp_0_zzt1gMXK3y4Q0BwRytIGRycKe5bmRz5EVdVt7UA&s,"(199, 195, 201)"
1733,unhappy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR6MrvNjiQ-tx0AsqbHBcJGrYk5_pNftLVcz7nITKJRDcZidrvRURCGSe8uGA&s,"(182, 125, 100)"
1734,unhappy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTtXeZ0Cy16-2Xh68WSsizotAAMd54IiEoBqQZU5ArOqKGhtbtLf-T4onEqR98&s,"(228, 211, 9)"
1735,unhappy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ8PBmFykDWpmiivuwqiXIkAkl7cVXw_URvDbjeCYrz6DRzXihqymbivbx1_d8&s,"(131, 135, 141)"
1736,unhappy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSei12f7blSQlaYNy99l_oOjwOTAaXqmC5-0d8xJpbz0gAUyT-Uphw3ppPNWQ&s,"(67, 63, 63)"
1737,unhappy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTYLSLxrdm8OZomToBFryt7SE2LKcKBnjDCRtoOT5qVvUtA5Z0ApwUwpLf1RQ&s,"(149, 142, 135)"
1738,unhappy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ4xJ1tSX4Qvnbd1rjS0_vQKaT0TySO2NSA4cPB3ON6arZxRgdZK6RguoohGpY&s,"(186, 186, 186)"
1739,agony,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQo_0nIxK5wBKDpu2aZ8yca4i2-di752kmm5n4sYZsAQkAbZp_U1ytVUiQU6vA&s,"(22, 7, 6)"
1740,agony,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQXrtCZZimYrMz3f8ySFsp5NfyIjfAILNs05I5F8INxLcQ3lKNGZt6nc4O0gg&s,"(204, 80, 22)"
1741,agony,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnJ-eS3xXub-Xqrd3ePe1-vtf1YmHDTjjvnJu8xX5Q7QsddoG3Q_gKsfILbw&s,"(213, 131, 65)"
1742,agony,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQrgAZ8PXPbXCMSpbMH75IL6dRGXbEvm0IGc-y00KcHMPoMsmWvVi3NzscW2Q&s,"(121, 44, 21)"
1743,agony,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRKy8LkQb1TozVBrURXL0aifIhdLDlNOsy2m3tj0OQwmQccD0609Gz9rLYP6w&s,"(134, 63, 32)"
1744,agony,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTzTPUn-DDyKatn1Jjt44IT1TSLhCAEKY5Gcqxw0RXGTTtbzi081gnnaXhYXDA&s,"(42, 29, 23)"
1745,agony,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ2B2u7Wl72921Pzkzk-idUYYBn-W0x9lgZ_vKeoSei9OkyY8YChngRdaqcDw&s,"(129, 55, 30)"
1746,agony,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT834k02IkIyP_xGIKTDcxZ_D-7YT5MZGDP6kUjwhdzqbYzzg-vhg4UdVtDOw&s,"(134, 83, 44)"
1747,agony,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTXJBZB1VjXRtwnozbYhT8FITmwQsLys497AXObQrPXF9xen0KhfUiYysi26Sg&s,"(63, 34, 26)"
1748,agony,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT4fIJA0NAq0ZNENNmiJtCGvujMD_eOI6x-7imOeKqtIE0k0Gvk0op2K6Lkmw0&s,"(194, 76, 26)"
1749,agony,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT1pFyykqBEe-FP4c9T4TNdbxYiyrIMHBrAV65YgHcndCLEXrqUM-qwjaUSTQ&s,"(121, 52, 31)"
1750,agony,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNhj9bCKB-J0Pd26W9U_ca89y33XyezWWdfJVadrsfEM9bFBfqlkM63PCMDw&s,"(60, 36, 33)"
1751,agony,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRSV-BHevLYRfbueG8AVN9wvlBMqraGWxGxdBCh8XqArIvoAgRdYsNL8rkUjW4&s,"(220, 147, 93)"
1752,agony,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqSbhDWqZG4BviUieK0_UDB4bHelpAsr_bgQR9jbI96RL1E9O81NA6AOjt1A&s,"(208, 124, 86)"
1753,agony,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSAlcDtq-Jrnr3XXgV_4dT4xbg_vQPA99-pp3EIRedLvKzYz4YI1cREhntYyA&s,"(42, 23, 30)"
1754,agony,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTYhFlEo1qIqhaR3NuKb5AEkiomJyMMUAJnt_dnhryScY_H22-H-d9oyIyyxg&s,"(77, 27, 17)"
1755,agony,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcROQPazjheLjba3mRqxuVd1VhERYUb7B1hXXlXLBfzAAUDQAqSS4LjV0wcGZk0&s,"(67, 25, 23)"
1756,agony,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT6EsHrSNUuN6NxhlJO55uDqV2SjFkwTDiFDp9fJgMalGBvY2gMznFKtzwhCg&s,"(41, 22, 19)"
1757,agony,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTsLlre6jRSjyUwTRC7-lZ5Sn5NPv0YTdMduezei2BUZNRgEc7pSQNHynJ-fYk&s,"(68, 30, 25)"
1758,agony,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRyvrrQmprGbsYn_GetoI0RLhxDQYxaRS3Mvcq5PAbQVpbfZTPVTyXvKTO90w&s,"(42, 19, 48)"
1759,contempt,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT2_s38Do8UPZOqXLI_FP8MUsCxpTHj6WkWjDlHEuyJY6pfM4j2FPGhgZKDrw&s,"(34, 59, 52)"
1760,contempt,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTpHdHFsGhZnIDf62D0SByYcJ087_8BLeo8flbOY6_TlJahk0heigP0V_5H1UQ&s,"(115, 115, 115)"
1761,contempt,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRH2gY1jp9nMGRajkKPDW2ePlq9Y7cz5lL_MxIbg3ISlxaATVK3ptv6nCIjWeQ&s,"(207, 198, 190)"
1762,contempt,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcReiaST5byCjjrKItwMrLc-oOHfAGSXaix2I5mLSiMmfDpMxKVaOr-d8Ez5V60&s,"(184, 174, 166)"
1763,contempt,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQF3jXDqWAi9PQwEHir_TU4DyF-nfo6R1L6p64MCSzEuhmKjShonLltspKau6Q&s,"(162, 145, 124)"
1764,contempt,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSnUAihsWV7I4loS91gprkt0wBuaoZkZxYA3Xm9Jr9gxwrHODcNwjEFznHoIdg&s,"(30, 55, 49)"
1765,contempt,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS0-H0SNQV0sDq9-aZty_VrPmwTfeLET24mMISJNbOWHcdGi8iYc9qz9fiBSw&s,"(26, 20, 17)"
1766,contempt,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRB5pzuh8jiCsxGXpY3xHoTuERtZWwHkOaXtzvIeqjCuXsWcNUGTFblrwJGdA&s,"(181, 136, 126)"
1767,contempt,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ15qIHF0ySFUbe8Ah0_SiH5vBCto_E5DqOpZ9RmxGKZ3qQmEpJLeFdQozA9uU&s,"(238, 217, 201)"
1768,contempt,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSMcPkaBrja3bI4snERV2KGJOvTlVLwRC_v8bHNlmUdV2ly3_TozzPnFyIBFpM&s,"(193, 145, 130)"
1769,contempt,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRrOIS_8dCoFrQ5NJmkgk6Z9NyqZBijQZ5PL7F2RcABX1bQAcTVt1XS3CCyxQ&s,"(200, 177, 160)"
1770,contempt,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSYtdalL53CarmcnjYJ-t8Y4GhQcNTZoSUei5QmGm30KuQSWqZun3izZF8TciA&s,"(59, 59, 59)"
1771,contempt,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQa_crycDZFPsL2FjuZiCuI2WfkOzhguRj3mbpGndz7UUHxAeFBjcOvSBC-Wg&s,"(237, 237, 237)"
1772,contempt,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSVmb8eXztcm7iymEGgHKNKFjk5XN7r8d8swdiN7RkNh_w0q-5Ass-WQ5Wryg0&s,"(115, 125, 139)"
1773,contempt,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQrkqeB-nw2jfPDQn8K6TjKlhnOpLYUGp3VrlZCWm5I6Ier1e9orWMx_Ii3nw&s,"(156, 152, 145)"
1774,contempt,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSGFJFbeNROP92QYiDpMgsV1le0QTqfbU7H1kdKciUJfywESdZ_JifNHSPScw&s,"(200, 140, 132)"
1775,contempt,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZnSsgjhtS-aV3uERS9AdWKIOEZgExxZBnX4DN9eDKMUT5-YjkgCluVFNwAg&s,"(84, 68, 51)"
1776,contempt,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTrr60zDV__V8BZOFuEpV4HBnvjdpcdn7DLSCa5SlNljRViu9oZntdzdytxLg&s,"(204, 204, 204)"
1777,contempt,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSfVkO8P2WfTAfuZ2yBcDO-iy26T8a9n6k-tLhJXvd_i4VBesAHwkyyLTHaQ1w&s,"(105, 47, 42)"
1778,contempt,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRbIcUTrrXJMcj09vFXg28dot0aDuy5Jx5mvkg1j0TKO6ybbxx0NJ3_5a3WEKE&s,"(49, 50, 66)"
1779,disgruntled,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYa6gr4XSyFqprsCg8V_IQWnaA0TP35cyYiksZXbXCrHffwvjtfD5Fu24pwBc&s,"(205, 199, 206)"
1780,disgruntled,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSehbTDhHLRpMDieanmyuvFJHzB1_eXuS6e9u3fU9ERGhj3BIkLfYRHTlBhVw&s,"(216, 233, 240)"
1781,disgruntled,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSAkCoL2PNispEKYzBCPRJ2p4pdmTZ1592NOrkzFZNjHUpEmtTGMar2hgWOfqs&s,"(227, 221, 219)"
1782,disgruntled,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSc7a3QW7obeiY-sgd5Ypef_wrlDw6abOEKlzSEym4Z4kJVwEnIAYYEP6pICA&s,"(228, 229, 231)"
1783,disgruntled,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS5usmFGPzK-n-nfnHgIqXUbb2XqSAtP0e21nHGBbftDk4nOL3BQd-jeCTR5Q&s,"(219, 220, 221)"
1784,disgruntled,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSSTtAIGmDRkqM6-Y6xvSy-6dcVW-202rE8IkjNLqP9OCCpMFJF0YkdJ2peqg&s,"(229, 229, 230)"
